"","x"
"ST",NA
"BT",NA
"RT",NA
"CLM",NA
"NP",NA
"CP",NA
"CRP",NA
"GS",NA
"CS",NA
"CC",NA
"WS",NA
"NRD",NA
"BM",NA
"BB",NA
"PS",NA
"RB",NA
"YP",NA
"LMB",NA
"SMB",NA
"RBS",NA
"BC",NA
"BS",NA
"MM",NA
"BND",NA
"BK",NA
"LT",NA
"SPL",NA
"KOK",NA
"LNS",NA
"LC",NA
"FF",NA
"PD",NA
"BG",NA
"WE",NA
"TM",NA
"YB",NA
"RWF",NA
"FHM",NA
"SS",NA
"LND",NA
"LLS",NA
"ESM",NA
"RS",NA
"BRM",NA
"LWF",NA
"CIS",NA
"TGT",NA
"AE",NA
"FSD",NA
"CCS",NA
"SAL",NA
"MCS",NA
"BDS",NA
"AW",NA
"Volume.m3.",973000752
"Littoral.Area..ha.",12733.4
"Elevation..m.",739704
"Long",-109419.77741096
"LAT..NAD83.DD.",64615.94387504
"SO4..mg.L.1.",NA
"NO3..mg.L.1.",NA
"ANC..µeq.L.1.",NA
"DIC..mg.L.1.",NA
"DOC..mg.L.1.",NA
"TOTAL.P1..mg.L.1.",NA
"SIO2..mg.L.1.",3735.4
"Ca..mg.L.1.",4755.69
"Na..mg.L.1.",1591.2
"Fe..mg.L.1.",362.855
"LAB_pH",NA
