"","MONTH","WATER","BENTHIC ALGAE","FISH","INVERT","LEAVES","ZOOPLANKTON"
"1","FALL","COM",4,10,27,3,5
"2","FALL","DTL",2,NA,45,4,2
"3","SPRING","DTL",4,11,65,3,2
"4","FALL","ECL",NA,NA,38,4,2
"5","SPRING","ECL",1,NA,26,3,2
"6","FALL","ETL",4,1,46,3,3
"7","FALL","GNL",4,5,17,NA,3
"8","FALL","HTL",4,7,56,6,2
"9","SPRING","HTL",6,13,70,3,2
"10","FALL","LCL",1,NA,25,3,2
"11","SPRING","LCL",1,NA,29,3,2
"12","FALL","LML",4,NA,35,4,8
"13","FALL","MSL",7,NA,49,5,2
"14","SPRING","MSL",7,1,114,3,4
"15","FALL","REL",4,NA,59,4,3
"16","SPRING","REL",4,NA,49,3,2
"17","FALL","SEL",3,5,39,4,1
"18","SPRING","SEL",4,NA,39,3,2
"19","FALL","UCL",4,9,22,7,2
"20","SPRING","UCL",5,11,38,3,3
