MDS1,MDS2,Year
-0.31678123677167996,0.21768302256391875,2000
-0.691518205360859,0.006263416928575203,2001
-0.2681851942083602,-0.5571033733753755,2002
-0.22724778828789194,-0.06994709765515261,2003
-0.553856061464008,-0.4249899438261968,2004
-0.27113259167219445,-0.3838233104032965,2005
-0.21461203662038753,0.13648923666672716,2006
-0.0913984775865701,-0.18759301230292477,2007
-0.09711008084409992,0.151015229449822,2008
0.11987127086822623,0.03383516498574946,2009
0.7788947849514167,-0.4278981447037523,2010
0.716442777589188,-0.2315316187953068,2011
0.18006935462274412,0.5806633870729273,2012
-0.00533711509739231,0.572123194296344,2013
0.10902117412291146,0.3202344061737511,2014
0.2612625902981712,0.10680709974307834,2015
0.02376946940115959,-0.012420729425680796,2016
-0.03982607034659219,0.3593049534818933,2017
0.2647829524570347,-0.0310352782219711,2018
0.3228904839491837,-0.15807660265312945,2019
