YEAR,MONTH,DAY_N,total_effort
1998,6,159,15483
1998,6,160,3654
1998,6,166,14272
1998,6,167,3087
1998,6,168,1811
1999,6,173,4369
1999,6,174,4426
2000,5,136,3517
2000,5,137,2301
2000,5,138,5775
2000,5,139,4232
2000,5,143,4318
2000,5,144,3783
2000,5,145,277
2000,5,146,3079
2000,5,151,7117
2000,5,152,5242
2000,6,153,6894
2000,6,157,4854
2000,6,158,6590
2000,6,159,4691
2000,6,160,5832
2000,6,164,7025
2000,6,165,6537
2000,6,166,3080
2000,6,167,5914
2000,6,171,10579
2000,6,172,5779
2000,6,173,7577
2000,6,174,2267
2001,5,127,4732
2001,5,129,5819
2001,5,130,4751
2001,5,134,7593
2001,5,137,2181
2001,5,148,5434
2001,5,149,4955
2001,5,151,5168
2001,6,155,3540
2001,6,157,1328
2001,6,158,3052
2001,6,161,4504
2001,6,162,3178
2001,6,163,2005
2001,6,170,184
2002,5,127,5388
2002,5,132,3011
2002,5,143,2449
2003,6,153,301
2003,6,156,5253
2003,6,159,4709
2003,6,160,6119
2003,6,161,6035
2003,6,162,4249
2004,5,145,5029
2004,5,146,9580
2004,5,147,6190
2005,5,142,3944
2005,5,143,8320
2005,5,144,5558
2006,5,141,3576
2006,5,142,6674
2006,5,143,2879
2007,5,140,3990
2007,5,141,6603
2007,5,142,4074
2008,5,139,3488
2008,5,140,7065
2008,5,141,1683
2009,5,136,3858
2009,5,137,6865
2009,5,138,4547
2010,5,135,4222
2010,5,136,7288
2010,5,137,3497
2011,5,137,5810
2011,5,138,8531
2011,5,139,5195
2012,5,143,10696
2012,6,157,4683
2012,6,158,9228
2012,6,159,5898
2013,5,141,5100
2013,5,142,9958
2013,5,143,6025
2014,5,141,5110
2014,5,142,10875
2014,5,143,5097
2015,5,139,4595
2015,5,140,8331
2015,5,141,6584
2016,5,138,5140
2016,5,139,6419
2016,5,140,11029
2016,5,141,2133
2017,5,136,5946
2017,5,137,8441
2017,5,138,7095
2018,5,135,6286
2018,5,136,8349
2018,5,137,8085
2019,5,134,6169
2019,5,135,7669
2019,5,136,9018
